timestamp,Daily_Return
2023-02-19,-1.2728023845912761
2023-02-20,2.0614650916729094
2023-02-21,-1.5819911136450981
2023-02-22,-1.012875204423358
2023-02-23,-0.997780485063493
2023-02-24,-3.1292012896705357
2023-02-25,-0.09807668166905703
2023-02-26,1.6648614774302573
2023-02-27,-0.16273269569350157
2023-02-28,-1.596393470118429
2023-03-01,2.156606219747892
2023-03-02,-0.7235050302163204
2023-03-03,-4.740212916759257
2023-03-04,-0.04172164631153219
2023-03-05,0.36756935285233716
2023-03-06,-0.025655126328649747
2023-03-07,-0.9362039617430651
2023-03-08,-2.257851740628636
2023-03-09,-6.239311158608585
2023-03-10,-0.8632183779056501
2023-03-11,2.2051846825845045
2023-03-12,7.4229770099644155
2023-03-13,9.175187888693825
2023-03-14,2.2669294883089997
2023-03-15,-1.4956444322371198
2023-03-16,2.7766213062754286
2023-03-17,9.464577453171529
2023-03-18,-1.6702594648891012
2023-03-19,3.9783493752593824
2023-03-20,-0.9680894177838351
2023-03-21,1.4714466837708162
2023-03-22,-3.0820008681536337
2023-03-23,3.7591779025402783
2023-03-24,-2.967065403073854
2023-03-25,0.00517171735541222
2023-03-26,1.8171608313816145
2023-03-27,-3.052194511765327
2023-03-28,0.4725228944394866
2023-03-29,3.9618063755315402
2023-03-30,-1.11074503792854
2023-03-31,1.5871042968584437
2023-04-01,-0.23684272611504964
2023-04-02,-0.745226498561502
2023-04-03,-1.450701847050495
2023-04-04,1.35971982612757
2023-04-05,0.0351267384649967
2023-04-06,-0.4749940528704033
2023-04-07,-0.4217681389550476
2023-04-08,0.07854922772632111
2023-04-09,1.3784839213681899
2023-04-10,4.658621825410658
2023-04-11,1.9629666758571807
2023-04-12,-0.3175315803583212
2023-04-13,0.8627134839524819
2023-04-14,0.2849851088919886
2023-04-15,-0.5484641300179338
2023-04-16,-0.010358775680330279
2023-04-17,-2.8708571396173888
2023-04-18,3.2348662229154
2023-04-19,-5.18092051895368
2023-04-20,-2.0008250880993006
2023-04-21,-3.4308522518338824
2023-04-22,1.9818587979846258
2023-04-23,-0.8128524647254443
2023-04-24,-0.2393679129772508
2023-04-25,2.841955147295372
2023-04-26,0.4066170397882152
2023-04-27,3.6980508331842854
2023-04-28,-0.453030993708059
2023-04-29,-0.31279011203009244
2023-04-30,0.0694680667924441
2023-05-01,-4.022160164248023
2023-05-02,2.0966033026897257
2023-05-03,1.135862564681589
2023-05-04,-0.5467695268338013
2023-05-05,2.3803407820215394
2023-05-06,-2.1323001096775096
2023-05-07,-1.5556145829018653
2023-05-08,-2.6733637409259936
2023-05-09,-0.12817829272578907
2023-05-10,-0.13384371045779275
2023-05-11,-2.2481076150133283
2023-05-12,-0.7251596524522896
2023-05-13,-0.07801573211611013
2023-05-14,0.5471927993601522
2023-05-15,0.9730726801279843
2023-05-16,-0.5738415341494774
2023-05-17,1.3394867282656264
2023-05-18,-2.067950762275983
2023-05-19,0.21585968530852817
2023-05-20,0.8905016115201336
2023-05-21,-1.3850552916312875
2023-05-22,0.3642513457661867
2023-05-23,1.3945303754316907
2023-05-24,-3.2723027651064163
2023-05-25,0.5368887301425707
2023-05-26,0.9181223884829448
2023-05-27,0.5578834405180588
2023-05-28,4.53058267244435
2023-05-29,-1.20973437068298
2023-05-30,-0.15690671469931194
2023-05-31,-1.742420455507676
2023-06-01,-1.4683709247646393
2023-06-02,1.601855426947596
2023-06-03,-0.640233260391676
2023-06-04,0.1622799291266075
2023-06-05,-5.011119223804861
2023-06-06,5.7402171630208665
2023-06-07,-3.277624957004588
2023-06-08,0.6157244440365472
2023-06-09,-0.10503081775867784
2023-06-10,-2.375852931180167
2023-06-11,0.3439979419507688
2023-06-12,-0.1452109670044499
2023-06-13,0.06265231396582749
2023-06-14,-3.0636253390914137
2023-06-15,1.7979087727655774
2023-06-16,2.9365685552642073
2023-06-17,0.6959002900740696
2023-06-18,-0.6580854145875503
2023-06-19,1.9547852547670663
2023-06-20,5.498705349618893
2023-06-21,6.000562340273241
2023-06-22,-0.38303689299371557
2023-06-23,2.618280743799839
2023-06-24,-0.47815994828226405
2023-06-25,-0.2240147837737516
2023-06-26,-0.6861189753050945
2023-06-27,1.3776598074988877
2023-06-28,-1.961401038928634
2023-06-29,1.1935868224670187
2023-06-30,0.10477918298796851
2023-07-01,0.37019798257575953
2023-07-02,0.10033124506771962
2023-07-03,1.749367929268808
2023-07-04,-1.21598433108826
2023-07-05,-0.85586975402272
2023-07-06,-1.9821224171432172
2023-07-07,1.4474667943441766
2023-07-08,-0.16387902600796256
2023-07-09,-0.4004505286051452
2023-07-10,0.8061862007427312
2023-07-11,0.6788889103658935
2023-07-12,-0.7488490028050299
2023-07-13,3.5680934374763718
2023-07-14,-3.6280934592069825
2023-07-15,-0.1261344778969442
2023-07-16,-0.1540603578530031
2023-07-17,-0.34131272874816654
2023-07-18,-0.9597533349379406
2023-07-19,0.19212301525000086
2023-07-20,-0.40752996439197275
2023-07-21,0.39181140710413676
2023-07-22,-0.4578641136054662
2023-07-23,1.0504447141318263
2023-07-24,-3.016908602087709
2023-07-25,0.17299501204297574
2023-07-26,0.43651529788248933
2023-07-27,-0.4915119656712763
2023-07-28,0.3716332707559111
2023-07-29,0.1284885528077373
2023-07-30,-0.2779902682116475
2023-07-31,-0.15438698273756435
2023-08-01,1.5245275282999904
2023-08-02,-1.7649890828436932
2023-08-03,0.09166006009861949
2023-08-04,-0.35843942133476636
2023-08-05,-0.10994270766331304
2023-08-06,-0.0009347950838400898
2023-08-07,0.47766457759308434
