Timestamp,Test_Data,Forecast,Test_Data BTC-USD,Test_Data forecast BTC-USD
0,10.046666628809882,10.046677576250032,23078.728516,23078.981170382103
1,10.044600314491396,10.044798172802686,23031.089844000006,23035.647187382987
2,10.07637164985507,10.046397554220173,23774.566406000005,23072.519451981672
3,10.036274735205106,10.049351879253566,22840.138672000016,23140.783961906134
4,10.049287023733745,10.044388183578825,23139.28320300001,23026.2047560513
5,10.074232758318614,10.04687184438481,23723.769531000016,23083.465116536496
6,10.063558008462433,10.048861013111248,23471.871093999987,23129.42772197741
7,10.062596872220103,10.048860860504806,23449.32226600001,23129.424192278024
8,10.057574558450531,10.047866601013112,23331.847655999987,23106.438971268013
9,10.041320070246307,10.04786658988802,22955.666016000017,23106.438714206757
10,10.032764693808685,10.046872292129787,22760.109375000004,23083.475452044368
11,10.054674889539736,10.04587799055575,23264.29101599998,23060.534922860275
12,10.040611167061408,10.047866592301355,22939.398437999993,23106.43876997034
13,9.990538219141412,10.046375141097245,21819.03906300002,23072.002330562125
14,9.982815401405137,10.042895088441409,21651.183594,22991.850095467555
15,9.992911122015416,10.04339223881879,21870.87499999999,23003.28334420568
16,9.98912396125247,10.043889389201633,21788.203124999996,23014.722278526588
17,9.990036811069636,10.042895088437955,21808.10156299999,22991.85009538816
18,10.008784277119346,10.043889389201405,22220.80468799999,23014.722278521356
19,10.098554284965184,10.04538084034643,24307.84179699999,23049.073222425803
20,10.069996183462603,10.04985519378158,23623.474609000023,23152.433986231117
21,10.10910243292493,10.049358043399897,24565.601562999982,23140.92660552433
22,10.112178256563537,10.048860893018214,24641.277344000006,23129.42494429442
23,10.099368537453813,10.048860893018214,24327.642578000003,23129.42494429442
24,10.119773582223404,10.047866592254849,24829.14843799998,23106.438768895736
25,10.10382720068089,10.048860893018214,24436.353516000003,23129.42494429442
26,10.09364680378454,10.04836374263653,24188.843750000007,23117.928999698648
27,10.083618887043402,10.046872291491482,23947.49218800001,23083.475437310062
28,10.05182681961069,10.045380840346434,23198.126953000003,23049.073222425886
29,10.050845571532914,10.044883689964752,23175.37499999999,23037.61721479119
30,10.0673571173827,10.04438653958307,23561.212891000014,23026.166901099532
31,10.065728464885717,10.043889389201386,23522.871094000016,23014.722278520905
32,10.049635734016187,10.045380840346434,23147.353516000006,23049.073222425886
33,10.070972538928578,10.043889389201386,23646.55078100001,23014.722278520905
34,10.063711188734993,10.04438653958307,23475.466797000023,23026.166901099532
35,10.015148763022255,10.043889389201386,22362.679688,23014.722278520905
36,10.014731459461,10.043889389201386,22353.349608999986,23014.722278520905
37,10.018400414158672,10.042397938056338,22435.513671999997,22980.42252918396
38,10.0181438299972,10.042895088438021,22429.757812999993,22991.85009538967
39,10.008737690997616,10.043392238819704,22219.769531000016,23003.283344226722
40,9.985900375941979,10.043889389201386,21718.08007799999,23014.722278520905
41,9.921475862600786,10.04090648691129,20363.02148400001,22946.17389811776
42,9.912806205754665,10.035934983094464,20187.244141000014,22832.380004765255
43,9.934618426968083,10.03543783271278,20632.410156000016,22821.031699472038
44,10.006222338836809,10.03543783271278,22163.949219000006,22821.031699472038
45,10.094005973188848,10.043392238819704,24197.533202999988,23003.283344226722
46,10.116422138001623,10.046872291491482,24746.074219000002,23083.475437310062
47,10.101352718186414,10.043889389201386,24375.960937999997,23014.722278520905
48,10.12874044015551,10.044883689964752,25052.789063000015,23037.61721479119
49,10.219171257508572,10.04438653958307,27423.929688,23026.166901099532
50,10.202327601566122,10.050849494544945,26965.87890599999,23175.465917453264
51,10.24134011396344,10.050352344163262,28038.67578100001,23163.94708925888
52,10.23161205529078,10.05184379530831,27767.236328000014,23198.52076073106
53,10.246219314743719,10.052838096071675,28175.816405999998,23221.598538857303
54,10.214914379966567,10.049855193781578,27307.437500000007,23152.433986231077
55,10.251816810879186,10.047369441873165,28333.972656000027,23094.95424904569
56,10.22169707769336,10.049358043399897,27493.285156000016,23140.92660552433
57,10.221748793529628,10.050849494544945,27494.707031000013,23175.465917453264
58,10.239757271437727,10.050849494544945,27994.33007800001,23175.465917453264
59,10.208759831390763,10.050849494544945,27139.88867199998,23175.465917453264
60,10.21347393146632,10.04836374263653,27268.130858999994,23117.928999698648
61,10.252327330783945,10.047369441873165,28348.44140600001,23094.95424904569
62,10.24115773205143,10.048860893018214,28033.562499999993,23129.42494429442
63,10.256904146939885,10.050352344163262,28478.484375000007,23163.94708925888
64,10.254532910509685,10.049358043399897,28411.03515600001,23140.92660552433
65,10.247052738682372,10.050352344163262,28199.30859399998,23163.94708925888
66,10.232439464518615,10.050352344163262,27790.220702999988,23163.94708925888
67,10.245945050406627,10.049855193781578,28168.08984400002,23152.433986231077
68,10.246296256102458,10.049855193781578,28177.98437500001,23152.433986231077
69,10.241534998755878,10.050352344163262,28044.140624999996,23163.94708925888
70,10.237308397859582,10.050849494544945,27925.859375,23175.465917453264
71,10.238093581803714,10.049358043399897,27947.794922000016,23140.92660552433
72,10.251784274319325,10.049358043399897,28333.050781000016,23140.92660552433
73,10.297317921093969,10.049855193781578,29652.98046899998,23152.433986231077
74,10.31675741065814,10.052838096071675,30235.058594000006,23221.598538857303
75,10.313577042821294,10.051346644926626,30139.052733999986,23186.990473661168
76,10.322167176593794,10.049358043399897,30399.066406000005,23140.92660552433
77,10.325012974572237,10.052838096071675,30485.69921900002,23221.598538857303
78,10.31951323740476,10.052838096071675,30318.496094,23221.598538857303
79,10.319409644282375,10.052838096071675,30315.35546900001,23221.598538857303
80,10.290280921001552,10.053335246453358,29445.044921999983,23233.146035617563
81,10.322117381982787,10.047866592254849,30397.55273400001,23106.438768895736
82,10.268917845383799,10.050352344163262,28822.679688000007,23163.94708925888
83,10.248706718738319,10.044883689964752,28245.988280999998,23037.61721479119
84,10.213795841466291,10.043889389201386,27276.91015599998,23014.722278520905
85,10.233420598031856,10.045380840346434,27817.500000000007,23049.073222425886
86,10.22525885681807,10.046872291491482,27591.384766000025,23083.475437310062
87,10.222862308253989,10.045380840346434,27525.339844000013,23049.073222425886
88,10.250885516010028,10.045380840346434,28307.59765599999,23049.073222425886
89,10.254943441891838,10.046872291491482,28422.70117199999,23083.475437310062
90,10.291256574737012,10.04836374263653,29473.787109000023,23117.928999698648
91,10.286715971868503,10.050849494544945,29340.261718999987,23175.465917453264
92,10.28358316862355,10.050849494544945,29248.488280999994,23175.465917453264
93,10.284277608133909,10.048860893018214,29268.806641000014,23129.42494429442
94,10.243224751896731,10.050352344163262,28091.568358999975,23163.94708925888
95,10.263974022188126,10.0463751411098,28680.537108999986,23072.0023308518
96,10.27526862303485,10.050849494544945,29006.308594,23175.465917453264
97,10.269785925218187,10.050849494544945,28847.710937999993,23175.465917453264
98,10.293310448848905,10.049358043399897,29534.38476600001,23140.92660552433
99,10.271756828331386,10.048860893018214,28904.62304700002,23129.42494429442
100,10.256078416020246,10.050849494544945,28454.978516000003,23175.465917453264
101,10.228980935712533,10.048860893018214,27694.273438000015,23129.42494429442
102,10.227698330594391,10.04438653958307,27658.775391000006,23026.166901099532
103,10.226358996955703,10.044883689964752,27621.755859000023,23037.61721479119
104,10.203621369114993,10.044883689964752,27000.789063000004,23037.61721479119
105,10.19634335192656,10.043392238819704,26804.990234,23003.283344226722
106,10.195562890138293,10.042895088438021,26784.078124999985,22991.85009538967
107,10.20101990152888,10.042895088438021,26930.638671999997,22991.85009538967
108,10.210703589690173,10.043889389201386,27192.693358999997,23014.722278520905
109,10.204948646411141,10.045877990728117,27036.650391000017,23060.53492683515
110,10.218254595582055,10.043889389201386,27398.802734000004,23014.722278520905
111,10.197358272643273,10.04438653958307,26832.20898399999,23026.166901099532
112,10.199514543078122,10.042895088438021,26890.12890600001,22991.85009538967
113,10.208380143391283,10.042895088438021,27129.585937999997,22991.85009538967
