timestamp,Close,Volume,value,value_classification,log_Close,Log Close Diff
2018-02-01,9170.540039,9959400448,30,Fear,9.123751455446657,
2018-02-02,8830.75,12726899712,15,Extreme Fear,9.085995227703346,-0.03775622774331033
2018-02-03,9174.910156,7263790080,40,Fear,9.124227880613246,0.0382326529098993
2018-02-04,8277.009766,7073549824,24,Extreme Fear,9.021237042780797,-0.10299083783244889
2018-02-05,6955.27002,9285289984,11,Extreme Fear,8.847254927471637,-0.17398211530916008
2018-02-06,7754.0,13999800320,8,Extreme Fear,8.955964118230874,0.10870919075923702
2018-02-07,7621.299805,9169280000,36,Fear,8.938702212217894,-0.017261906012979722
2018-02-08,8265.589844,9346750464,30,Fear,9.019856374193836,0.08115416197594172
2018-02-09,8736.980469,6784820224,44,Fear,9.075319924860091,0.0554635506662553
2018-02-10,8621.900391,7780960256,54,Neutral,9.062060802352384,-0.013259122507706778
2018-02-11,8129.970215,6122189824,31,Fear,9.00331253894351,-0.058748263408874735
2018-02-12,8926.570313,6256439808,42,Fear,9.096787536605431,0.09347499766192158
2018-02-13,8598.30957,5696719872,35,Fear,9.059320901292923,-0.0374666353125086
2018-02-14,9494.629883,7909819904,55,Greed,9.158481642286533,0.09916074099361083
2018-02-15,10166.400391,9062540288,71,Greed,9.226843482535221,0.06836184024868786
2018-02-16,10233.900391,7296159744,67,Greed,9.23346105617325,0.0066175736380280625
2018-02-17,11112.700195,8660880384,74,Greed,9.315843894957974,0.0823828387847243
2018-02-18,10551.799805,8744009728,63,Greed,9.264051721984423,-0.051792172973550876
2018-02-19,11225.299805,7652089856,67,Greed,9.325925420939754,0.061873698955331236
2018-02-20,11403.700195,9926540288,74,Greed,9.34169316022715,0.015767739287396054
2018-02-21,10690.400391,9405339648,54,Neutral,9.277101458041722,-0.06459170218542809
2018-02-22,10005.0,8040079872,44,Fear,9.210840247017833,-0.06626121102388893
2018-02-23,10301.099609,7739500032,39,Fear,9.24000592667482,0.029165679656987464
2018-02-24,9813.070313,6917929984,31,Fear,9.191470481471764,-0.04853544520305597
2018-02-25,9664.730469,5706939904,33,Fear,9.176238503928172,-0.015231977543592734
2018-02-26,10366.700195,7287690240,37,Fear,9.246354043738359,0.07011553981018714
2018-02-27,10725.599609,6966179840,44,Fear,9.280388649832513,0.03403460609415454
2018-02-28,10397.900391,6936189952,41,Fear,9.249359179267078,-0.0310294705654357
2018-03-01,10951.0,7317279744,38,Fear,9.301186055275759,0.051826876008680856
2018-03-02,11086.400391,7620590080,47,Neutral,9.313474446141553,0.012288390865794696
2018-03-03,11489.700195,6690570240,56,Greed,9.349206277813087,0.0357318316715336
2018-03-04,11512.599609,6084149760,44,Fear,9.351197332773689,0.0019910549606017014
2018-03-05,11573.299805,6468539904,55,Greed,9.356455983068571,0.005258650294882372
2018-03-06,10779.900391,6832169984,59,Greed,9.285438604253322,-0.07101737881524883
2018-03-07,9965.570313,8797910016,37,Fear,9.206891462619867,-0.07854714163345555
2018-03-08,9395.009766,7186089984,39,Fear,9.147933951336116,-0.05895751128375082
2018-03-09,9337.549805,8704190464,37,Fear,9.141799163295657,-0.006134788040458972
