Timestamp,Real_BTC_Price,Rolling_Forecast_USD,MSE
2023-01-26,23032.777344,23079.60864371417,4.125698840181329e-06
2023-01-27,23078.728516,23059.252097992216,7.12789104051344e-07
2023-01-28,23031.089844,23072.34915226432,3.2035939463007475e-06
2023-01-29,23774.566406,23036.178608683123,0.0009954282323144227
2023-01-30,22840.138672,23736.17141310396,0.0014807603005378611
2023-01-31,23139.283203,22919.90997064418,9.074050166239403e-05
2023-02-01,23723.769531,23077.93357290737,0.0007617917370829372
2023-02-02,23471.871094,23710.189281024246,0.00010205351014281252
2023-02-03,23449.322266,23514.42469119224,7.686513659502393e-06
2023-02-04,23331.847656,23437.378877873358,2.0365872629595813e-05
2023-02-05,22955.666016,23336.121611762832,0.0002701964238130181
2023-02-06,22760.109375,22966.947431316814,8.184276869767425e-05
2023-02-07,23264.291016,22751.28273677838,0.000497204492807141
2023-02-08,22939.398438,23230.108084916395,0.00015859149474389304
2023-02-09,21819.039063,22978.508045706676,0.002680796230705945
2023-02-10,21651.183594,21855.8434678486,8.851420773777978e-05
2023-02-11,21870.875,21610.3609469979,0.00014359156708696215
2023-02-12,21788.203125,21853.149823012547,8.858870890494572e-06
2023-02-13,21808.101563,21802.194377926433,7.339104714170437e-08
2023-02-14,22220.804688,21803.29064978361,0.00035978853292823045
2023-02-15,24307.841797,22202.420522730423,0.008207941522666455
2023-02-16,23623.474609,24230.23278803269,0.0006431416578222232
2023-02-17,24565.601563,23753.924958291565,0.001128918048407721
2023-02-18,24641.277344,24486.700708499844,3.9599780389461465e-05
2023-02-19,24327.642578,24685.127506114517,0.00021280036558081927
2023-02-20,24829.148438,24346.00190789353,0.00038614843403680916
2023-02-21,24436.353516,24789.646121107,0.00020604159868686754
2023-02-22,24188.84375,24479.36061560279,0.00014253527631082852
2023-02-23,23947.492188,24181.616957791262,9.465551509981117e-05
2023-02-24,23198.126953,23946.885253628367,0.0010091246730238581
2023-02-25,23175.375,23221.344731989237,3.92671756747321e-06
2023-02-26,23561.212891,23140.39791249631,0.0003247896332896202
2023-02-27,23522.871094,23541.022431858863,5.949789621864342e-07
2023-02-28,23147.353516,23543.093741094723,0.00028737244056393986
2023-03-01,23646.550781,23164.63148551031,0.00042397484473649693
2023-03-02,23475.466797,23603.319402583922,2.950059522158705e-05
2023-03-03,22362.679688,23506.957782176174,0.0024903063275384086
