Date,Rolling variance,Scaled Variance
2018-02-01,,
2018-02-02,,
2018-02-03,,
2018-02-04,,
2018-02-05,,
2018-02-06,,
2018-02-07,,
2018-02-08,,
2018-02-09,,
2018-02-10,,
2018-02-11,,
2018-02-12,,
2018-02-13,,
2018-02-14,,
2018-02-15,,
2018-02-16,,
2018-02-17,,
2018-02-18,,
2018-02-19,,
2018-02-20,,
2018-02-21,,
2018-02-22,,
2018-02-23,,
2018-02-24,,
2018-02-25,,
2018-02-26,,
2018-02-27,,
2018-02-28,,
2018-03-01,,
2018-03-02,1460317.559741889,0.01834186201070279
2018-03-03,1574892.552702282,0.019786336556785234
2018-03-04,1662664.4137159465,0.020892897559502046
2018-03-05,1760637.3197827332,0.022128065595411247
2018-03-06,1702808.3196238393,0.021399001455003265
2018-03-07,1392447.9662134927,0.017486213690142825
2018-03-08,1227398.669512858,0.015405397433708137
2018-03-09,1036905.1240236713,0.013003799401341266
2018-03-10,972240.7567979243,0.012188560141161616
2018-03-11,914562.8856195199,0.011461401320229131
2018-03-12,863813.8609008936,0.010821596136301211
2018-03-13,750695.0170207032,0.009395479612569957
2018-03-14,823677.536155758,0.01031558781834575
2018-03-15,859453.7757307296,0.010766627491884792
2018-03-16,959362.7680401774,0.012026204233605666
2018-03-17,1125511.7674203068,0.014120884706722766
2018-03-18,1238197.8966361473,0.015541545892406685
2018-03-19,1254470.593284326,0.015746699700380652
2018-03-20,1273162.4410237197,0.015982352329119077
2018-03-21,1234399.9263484066,0.015493663965769209
2018-03-22,1176016.228493641,0.014757606617840502
2018-03-23,1162262.1339863406,0.014584205433979418
2018-03-24,1188617.2859942138,0.014916471186303456
2018-03-25,1209982.5639676964,0.015185828394235731
2018-03-26,1265501.6353473258,0.015885770705885982
2018-03-27,1354822.9783913516,0.017011866401947642
2018-03-28,1392195.3537050749,0.017483028943375632
2018-03-29,1475681.732208046,0.01853556183538143
2018-03-30,1602359.6375496318,0.02013262071436575
2018-03-31,1624551.7118280523,0.020412401542552496
2018-04-01,1607248.817863381,0.02019425978875661
2018-04-02,1447812.443882741,0.01818420700163292
2018-04-03,1206281.6985878842,0.015139170692572469
2018-04-04,965804.9769483196,0.012107422713728758
2018-04-05,838336.0378322491,0.010500391081329302
2018-04-06,817065.8929916475,0.010232233239728066
2018-04-07,809934.5573938128,0.010142326773364985
2018-04-08,786143.0684672322,0.009842381739288239
2018-04-09,806315.6270557423,0.010096702046517345
2018-04-10,743986.0584684317,0.009310898155403048
2018-04-11,698877.1483941224,0.008742199255928656
2018-04-12,626232.9401671886,0.007826356217296375
2018-04-13,616548.6121271774,0.007704263560004707
2018-04-17,605353.3283993581,0.007563121920252687
2018-04-18,598524.4157086223,0.007477028172356084
2018-04-19,609388.8356697728,0.007613998532871462
2018-04-20,644996.7369533253,0.008062915925005085
2018-04-21,664061.858508406,0.008303274506687927
2018-04-22,655366.754168594,0.008193653230963903
2018-04-23,655500.2042004534,0.008195335667673817
2018-04-24,754168.4301053825,0.00943926976833792
2018-04-25,751573.6449452068,0.009406556686542472
2018-04-26,802886.8253023244,0.010053474316552857
2018-04-27,835452.51503129,0.010464037814517638
2018-04-28,911774.1125842397,0.011426242586545806
2018-04-29,996352.9360313517,0.012492548195215468
2018-04-30,1058157.7658811691,0.013271736578616713
2018-05-01,1083440.1755529044,0.013590478009803834
2018-05-02,1089408.6046660044,0.01366572343388124
2018-05-03,1136621.0805389108,0.014260942494287549
2018-05-04,1149845.912741566,0.014427671140734427
2018-05-05,1182710.0368531207,0.014841997072876052
2018-05-06,1208997.0239654453,0.015173403453935802
2018-05-07,1148658.1000506482,0.0144126960999056
2018-05-08,1061758.8500408432,0.013317136314392809
2018-05-09,941676.8654764115,0.011803233798105092
2018-05-10,834129.2728467253,0.010447355381427138
2018-05-11,732881.9601947528,0.009170906112644888
2018-05-12,591449.3797261214,0.007387831488810376
2018-05-13,447946.8407501907,0.005578660399263888
2018-05-14,315443.4792760686,0.003908158591021195
2018-05-15,281984.7593057361,0.003486336445604588
2018-05-16,253719.12268647293,0.003129984753403695
2018-05-17,240302.69859820252,0.002960840661885808
2018-05-18,235425.99127904428,0.002899358837543448
2018-05-19,237846.8556945299,0.0029298792585998523
2018-05-20,245408.58649046713,0.0030252118209403525
2018-05-21,256532.81819516717,0.0031654576907150706
2018-05-22,285543.2255442348,0.003531198886978527
2018-05-23,351374.4296443367,0.0043611487408129245
2018-05-24,386166.9055848482,0.004799785869148841
2018-05-25,448384.34914851864,0.005584176173070659
2018-05-26,508147.7989965248,0.006337628386865353
2018-05-27,567542.5990418985,0.00708643294376248
2018-05-28,629118.3098009654,0.007862732767574414
2018-05-29,646654.5573150737,0.008083816465800671
2018-05-30,670677.0896187106,0.00838667431940789
2018-05-31,687398.5388061104,0.008597485658782437
2018-06-01,688778.0058610094,0.008614876932362089
2018-06-02,637149.3781701504,0.007963982381799972
2018-06-03,576876.4956370876,0.007204107627383687
2018-06-04,497813.016531404,0.00620733529389238
2018-06-05,425352.6285935638,0.0052938097219409905
2018-06-06,371835.2755240401,0.00461910355539244
2018-06-07,323629.8942660944,0.004011366697530507
2018-06-08,262438.4292782128,0.003239911152749937
2018-06-09,221949.70661848187,0.002729460069365711
2018-06-10,248565.0668338682,0.003065006329265817
2018-06-11,258124.89813869775,0.003185529426216318
2018-06-12,269523.2532513993,0.003329231235852891
2018-06-13,289411.4708900709,0.003579966788208018
2018-06-14,288435.33936062094,0.0035676604627919092
2018-06-15,302941.01818357414,0.00375053705123426
